Name,Description(short_description),Version / Baseline,Directorate,Status,Access Type,Geo Restriction,Product Types,Heritage,Constellations,Landing Page URL,Dissemination mode,Data Policy URL,Creation year,Publication Year,File Format,Owned by,Deputy Owner,Collection,Dataset,Campaign,EarthOnline page requested,Authors,Creators,Publisher,Language
GFx_FGM_ACAL_CORR,Magnetic measurements derived from GRACE-FO platform magnetometers,0,D/EOP,Available,External Data,World Wide,"GF1_FGM_ACAL_CORR, GF2_FGM_ACAL_CORR",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/GFx_FGM_ACAL_CORR,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
SW_AEJxLPL_2F,Auroral electrojets line profile - Line current method (LC),0,D/EOP,Available,External Data,World Wide,"SW_AEJALPL_2F, SW_AEJBLPL_2F, SW_AEJCLPL_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_AEJxLPL_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2020,2020,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
SW_IBIxTMS_2F,Ionospheric bubble index,0,D/EOP,Available,External Data,World Wide,"SW_IBIATMS_2F, SW_IBIBTMS_2F, SW_IBICTMS_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_IBIxTMS_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2015,2015,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
SW_ACCxPOD_2_,Non-gravitational and aerodynamic accelerations,0,D/EOP,Available,External Data,World Wide,"SW_ACCAPOD_2_, SW_ACCBPOD_2_, SW_ACCCPOD_2_",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_ACCxPOD_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2017,2017,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Delft University of Technology,European Space Agency,European Space Agency,en
SW_AEJxPBL_2F,Auroral electrojets peaks and boundaries from LC,0,D/EOP,Available,External Data,World Wide,"SW_AEJAPBL_2F, SW_AEJBPBL_2F, SW_AEJCPBL_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_AEJxPBL_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2020,2020,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
GO_MAG_ACAL_CORR,Magnetic measurements derived from GOCE platform magnetometers,0,D/EOP,Available,External Data,World Wide,GO_MAG_ACAL_CORR,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/GO_MAG_ACAL_CORR,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
SW_ACCxCAL_2_,Corrected and calibrated accelerometer observations,0,D/EOP,Available,External Data,World Wide,"SW_ACCACAL_2_, SW_ACCBCAL_2_, SW_ACCCCAL_2_",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_ACCxCAL_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2021,2021,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Leibniz University Hannover,European Space Agency,European Space Agency,en
SW_ASMxAUX_1B,Spacecraft (S/C) magnetic stray fields at ASM sensor position,0,D/EOP,Available,External Data,World Wide,"SW_ASMAAUX_1B, SW_ASMBAUX_1B, SW_ASMCAUX_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_ASMxAUX_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_EFIx_TCT16,Swarm Electric Field Instrument (EFI) Thermal Ion Imager (TII) 16Hz Cross-Track ion flow velocity dataset,0,D/EOP,Available,External Data,World Wide,"SW_EFIA_TCT16, SW_EFIB_TCT16, SW_EFIC_TCT16",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_EFIx_TCT16,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2017,2017,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,University of Calgary,European Space Agency,European Space Agency,en
GR_NE__KBR_2F,Time series of the averaged electron density (Ne) between GRACE 1 and 2 satellites,0,D/EOP,Available,External Data,World Wide,GR_NE__KBR_2F,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/GR_NE__KBR_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
